customer_id,customer_name,segment,region,industry,signup_date,employee_count,annual_revenue_m,platform_maturity,growth_profile
CUST-0025,Adams-Ruiz,Mid-Market,EMEA,Manufacturing,2024-04-19,1693,156.2,Low,Declining
CUST-0026,Solis-Jones,Strategic,APJ,Financial Services,2025-01-25,98553,2903.2,Medium,Declining
CUST-0027,"Ramos, Norris and Hall",Strategic,EMEA,Retail,2025-05-22,27628,8315.9,Medium,Stable
CUST-0028,"Neal, Yang and Thomas",SMB,North America,Manufacturing,2024-10-25,175,5.4,Low,Declining
CUST-0029,Kent-Riley,Mid-Market,LATAM,Retail,2024-04-27,938,143.3,Medium,Declining
CUST-0030,Andrews-Rivera,Enterprise,EMEA,Financial Services,2026-03-22,10136,748.9,High,Declining
CUST-0031,Ross Group,Strategic,EMEA,Financial Services,2023-10-31,23904,8588.7,High,Stable
CUST-0032,"Murillo, Reyes and Wang",Mid-Market,EMEA,AI,2024-02-08,504,71.2,High,Stable
CUST-0033,Downs-Peterson,Enterprise,APJ,Media,2025-11-30,8090,461.7,Medium,Declining
CUST-0034,Chase-Sullivan,Enterprise,EMEA,AI,2025-01-07,15689,1557.3,High,Declining
CUST-0035,Lewis LLC,Mid-Market,EMEA,Healthcare,2026-05-04,1244,166.6,High,Stable
CUST-0036,Hawkins-Potter,Enterprise,EMEA,Technology,2025-07-19,18357,962.5,Medium,High Growth
CUST-0037,Lee-Garcia,SMB,LATAM,AI,2025-05-30,98,4.7,High,Declining
CUST-0038,Fisher-Merritt,SMB,North America,AI,2023-10-18,153,6.3,High,High Growth
CUST-0039,Rangel-Cox,Enterprise,APJ,Financial Services,2023-08-05,10559,1357.3,High,High Growth
CUST-0040,"Lang, Hickman and Fitzpatrick",Mid-Market,LATAM,AI,2024-05-06,1928,146.1,Medium,High Growth
CUST-0041,"Padilla, Watkins and Riley",Strategic,North America,Financial Services,2025-11-16,90213,9212.5,Medium,Declining
CUST-0042,Aguilar-Jones,Enterprise,EMEA,AI,2025-02-12,2109,590.4,Low,High Growth
CUST-0043,Cunningham Inc,Enterprise,APJ,Manufacturing,2024-03-17,14679,1876.9,High,High Growth
CUST-0044,Watkins and Sons,Strategic,APJ,Financial Services,2023-06-06,23374,2097.2,Low,High Growth
CUST-0045,"Warner, Perez and Griffith",Mid-Market,LATAM,Manufacturing,2023-11-25,1044,87.5,Medium,Stable
CUST-0046,"Delacruz, Hall and Smith",Enterprise,APJ,Media,2023-12-12,14324,1738.4,Medium,Stable
CUST-0047,"Kennedy, Tran and Wilson",Strategic,APJ,Manufacturing,2025-03-10,60976,9129.7,High,Stable
CUST-0048,Nichols and Sons,Strategic,LATAM,Technology,2025-02-19,24444,3802.8,Medium,Stable
CUST-0049,"Smith, Weeks and Farrell",SMB,LATAM,Technology,2025-04-30,62,12.1,Low,High Growth
CUST-0050,Villanueva-Lewis,Strategic,EMEA,Retail,2023-07-11,20900,4739.9,High,Stable
CUST-0051,"George, Kelley and Carson",SMB,North America,Technology,2024-06-24,130,7.6,Medium,Stable
CUST-0052,Maxwell-Murphy,Strategic,LATAM,Media,2025-02-15,62464,6101.7,Low,High Growth
CUST-0053,Page Ltd,Strategic,LATAM,Financial Services,2023-12-19,75111,8559.3,High,Declining
CUST-0054,Scott-Hall,Strategic,LATAM,Manufacturing,2025-10-03,66599,9000.1,Medium,Declining
CUST-0055,"Thompson, Moore and Brown",Strategic,North America,Retail,2025-11-23,60221,7138.4,Low,Stable
CUST-0056,Torres PLC,Strategic,EMEA,Manufacturing,2023-08-03,91091,7406.4,Medium,Declining
CUST-0057,"Bradshaw, Lee and Bean",Mid-Market,North America,Media,2023-11-01,827,197.0,Low,High Growth
CUST-0058,Douglas Group,Enterprise,LATAM,Retail,2024-10-24,19071,1932.0,Low,High Growth
CUST-0059,Freeman-Welch,Strategic,APJ,Technology,2024-03-29,71599,8496.0,Medium,Stable
CUST-0060,Hampton Inc,Strategic,APJ,Manufacturing,2024-11-18,25310,9629.7,High,Declining
CUST-0061,"Shields, West and Smith",Strategic,LATAM,Media,2023-10-30,89947,2205.0,High,Stable
CUST-0062,Chavez Group,Mid-Market,North America,Media,2025-01-16,1999,151.1,Low,Declining
CUST-0063,Hall-Foster,Enterprise,North America,Retail,2023-06-16,15723,830.7,Low,Stable
CUST-0064,Wood-Cochran,Mid-Market,LATAM,Financial Services,2025-05-27,1714,69.1,Medium,Stable
CUST-0065,Brown PLC,SMB,LATAM,Manufacturing,2024-02-28,172,17.8,Low,Stable
CUST-0066,"Johnson, Aguirre and Medina",Mid-Market,EMEA,Retail,2023-07-30,605,38.6,High,Declining
CUST-0067,"Steele, Russo and Evans",SMB,LATAM,Manufacturing,2025-11-29,140,6.7,High,Declining
CUST-0068,Butler-Smith,Enterprise,North America,AI,2023-06-11,4289,1509.0,High,Declining
CUST-0069,Hill PLC,Enterprise,North America,Healthcare,2025-04-06,15027,1928.3,High,Declining
CUST-0070,"Leach, Martin and Fox",Mid-Market,APJ,AI,2024-10-24,1947,41.4,High,Declining
CUST-0071,Bennett Inc,Strategic,APJ,AI,2026-02-23,68019,7149.6,Low,Stable
CUST-0072,"Perez, Mills and Orr",SMB,North America,Technology,2024-08-16,59,14.4,Low,High Growth
CUST-0073,"Mays, Bennett and Williams",Mid-Market,LATAM,Healthcare,2023-06-02,1643,44.0,High,High Growth
CUST-0074,"Robinson, Cruz and Moore",Enterprise,LATAM,Retail,2024-01-27,14833,1788.5,High,Stable
CUST-0075,"Pierce, Hill and Davis",Mid-Market,LATAM,Media,2025-09-09,959,56.1,High,High Growth
CUST-0076,Morgan-Kidd,Enterprise,APJ,Media,2024-06-13,8859,563.9,High,High Growth
CUST-0077,Nguyen and Sons,SMB,North America,Retail,2024-08-28,104,10.2,Low,Declining
CUST-0078,Estrada-Mcclure,Enterprise,North America,Financial Services,2024-07-02,2583,1302.8,Medium,Stable
CUST-0079,"Lopez, Gordon and Casey",Strategic,North America,Retail,2025-04-19,39613,2027.3,Low,Declining
CUST-0080,"King, Mccarty and Hall",SMB,APJ,AI,2025-12-29,186,19.0,High,Declining
CUST-0081,Armstrong Ltd,Mid-Market,North America,Retail,2025-08-24,1635,128.6,High,Stable
CUST-0082,Flores-Richard,SMB,APJ,AI,2024-05-10,168,12.7,Medium,Stable
CUST-0083,"Hopkins, Miranda and Morales",Mid-Market,EMEA,Media,2023-12-26,1212,27.2,Low,High Growth
CUST-0084,Chen-Young,Strategic,EMEA,Healthcare,2023-06-15,53188,6072.1,Medium,High Growth
CUST-0085,Owens Inc,Enterprise,LATAM,Manufacturing,2024-11-17,16650,223.3,High,Declining
CUST-0086,Brown-Ryan,Enterprise,LATAM,Media,2025-02-24,6989,608.0,Medium,Declining
CUST-0087,"Lewis, Jenkins and Price",Strategic,APJ,Healthcare,2024-12-08,27291,7143.5,Low,Declining
CUST-0088,Acevedo-Mueller,Enterprise,North America,Media,2024-01-06,4328,530.3,Low,Declining
CUST-0089,"Schmidt, Warren and Stuart",Enterprise,APJ,Manufacturing,2024-11-08,8856,1296.8,Medium,Stable
CUST-0090,"Scott, Dennis and Henderson",Enterprise,LATAM,Financial Services,2024-10-27,10021,1752.6,Medium,High Growth
CUST-0091,Benson-Nichols,Mid-Market,North America,Healthcare,2025-10-08,655,59.2,High,High Growth
CUST-0092,"Edwards, Simon and Raymond",SMB,North America,Media,2026-04-27,150,16.6,Low,High Growth
CUST-0093,"Hernandez, Duarte and Wagner",Enterprise,APJ,Healthcare,2024-02-14,15037,345.6,High,High Growth
CUST-0094,"Bailey, Watkins and Mitchell",Enterprise,EMEA,Manufacturing,2023-11-06,10029,1967.3,Low,Stable
CUST-0095,Howard and Sons,Mid-Market,EMEA,Manufacturing,2025-10-01,597,64.2,Medium,Declining
CUST-0096,Bowman-White,Strategic,North America,Media,2024-12-27,21490,7441.8,High,Declining
CUST-0097,"Olson, Martinez and Green",Strategic,LATAM,Healthcare,2025-11-02,52407,9554.8,Medium,Declining
CUST-0098,Kennedy-Campos,Mid-Market,APJ,Financial Services,2024-05-27,1052,35.8,Medium,Declining
CUST-0099,Owens-Blair,Strategic,EMEA,Retail,2025-06-23,37367,2727.7,Low,High Growth
CUST-0100,"Warner, Pierce and Marshall",SMB,North America,Financial Services,2024-04-17,111,13.6,High,High Growth
