consumption_id,customer_id,consumption_date,compute_units_used,storage_gb_used,query_count
CONS-0001-0044,CUST-0001,2026-05-04,24145,494681,236581
CONS-0001-0045,CUST-0001,2026-02-21,14475,177699,879106
CONS-0001-0046,CUST-0001,2026-04-09,17596,106914,274408
CONS-0002-0000,CUST-0002,2026-02-20,4756,1300,1390
CONS-0002-0001,CUST-0002,2026-05-02,2292,5804,3610
CONS-0002-0002,CUST-0002,2026-04-11,1922,4050,7203
CONS-0002-0003,CUST-0002,2026-05-03,2318,5123,7763
CONS-0002-0004,CUST-0002,2026-03-01,3598,9273,8203
CONS-0002-0005,CUST-0002,2026-05-05,2229,5540,6970
CONS-0002-0006,CUST-0002,2026-04-21,2084,3890,7832
CONS-0002-0007,CUST-0002,2026-03-09,1039,5837,3731
CONS-0002-0008,CUST-0002,2026-03-14,4887,6380,1169
CONS-0002-0009,CUST-0002,2026-05-07,3855,3133,4296
CONS-0002-0010,CUST-0002,2026-03-30,3269,1298,2590
CONS-0002-0011,CUST-0002,2026-03-17,2614,7346,9323
CONS-0002-0012,CUST-0002,2026-05-10,2936,2513,6557
CONS-0002-0013,CUST-0002,2026-02-20,4771,4078,1459
CONS-0002-0014,CUST-0002,2026-05-06,3197,3340,1691
CONS-0002-0015,CUST-0002,2026-03-09,4558,6286,2370
CONS-0002-0016,CUST-0002,2026-02-21,3340,7073,6821
CONS-0002-0017,CUST-0002,2026-05-08,4652,5541,2707
CONS-0002-0018,CUST-0002,2026-03-30,2084,9500,7449
CONS-0002-0019,CUST-0002,2026-02-20,3236,5270,8029
CONS-0002-0020,CUST-0002,2026-02-23,607,4848,4032
CONS-0002-0021,CUST-0002,2026-03-10,2655,5600,2258
CONS-0002-0022,CUST-0002,2026-04-04,3942,4144,4711
CONS-0002-0023,CUST-0002,2026-04-20,3224,8634,3218
CONS-0002-0024,CUST-0002,2026-02-14,1772,1150,7437
CONS-0002-0025,CUST-0002,2026-03-25,1373,2331,3191
CONS-0002-0026,CUST-0002,2026-02-17,1781,1655,5481
CONS-0002-0027,CUST-0002,2026-02-17,1974,8426,5840
CONS-0002-0028,CUST-0002,2026-02-25,4503,1092,4644
CONS-0002-0029,CUST-0002,2026-04-01,1141,4807,2902
CONS-0002-0030,CUST-0002,2026-04-25,4678,4514,7638
CONS-0002-0031,CUST-0002,2026-04-15,1978,5093,3393
CONS-0002-0032,CUST-0002,2026-02-17,1048,5182,6032
CONS-0002-0033,CUST-0002,2026-02-28,3068,1363,7854
CONS-0002-0034,CUST-0002,2026-03-26,1337,8360,1267
CONS-0002-0035,CUST-0002,2026-02-25,2696,5878,8135
CONS-0002-0036,CUST-0002,2026-04-04,4553,3603,7218
CONS-0002-0037,CUST-0002,2026-03-09,1664,4315,6254
CONS-0002-0038,CUST-0002,2026-04-11,2123,5164,8904
CONS-0002-0039,CUST-0002,2026-03-17,3314,4193,9378
CONS-0002-0040,CUST-0002,2026-04-03,2478,2068,4068
CONS-0002-0041,CUST-0002,2026-03-31,779,1449,3198
CONS-0002-0042,CUST-0002,2026-05-05,4474,7801,9471
CONS-0002-0043,CUST-0002,2026-05-06,2223,3633,7519
CONS-0002-0044,CUST-0002,2026-03-23,1457,1900,3397
CONS-0002-0045,CUST-0002,2026-04-23,1732,3856,3436
CONS-0002-0046,CUST-0002,2026-05-04,2230,6053,8500
CONS-0002-0047,CUST-0002,2026-03-26,4369,3637,3636
CONS-0002-0048,CUST-0002,2026-04-27,1850,6031,2526
CONS-0002-0049,CUST-0002,2026-02-10,3553,3256,5270
CONS-0002-0050,CUST-0002,2026-03-19,1525,7237,8670
CONS-0002-0051,CUST-0002,2026-03-16,694,2213,7396
CONS-0002-0052,CUST-0002,2026-05-05,3420,2104,8041
CONS-0002-0053,CUST-0002,2026-02-21,4796,7540,8876
CONS-0002-0054,CUST-0002,2026-04-25,577,3622,5920
CONS-0002-0055,CUST-0002,2026-04-21,1487,3723,5560
CONS-0002-0056,CUST-0002,2026-02-19,2336,2157,1127
CONS-0002-0057,CUST-0002,2026-04-04,973,2434,5369
CONS-0002-0058,CUST-0002,2026-04-11,4591,1257,3921
CONS-0002-0059,CUST-0002,2026-05-09,2313,6005,3158
CONS-0002-0060,CUST-0002,2026-02-10,3083,8106,6020
CONS-0002-0061,CUST-0002,2026-03-23,4239,2067,3793
CONS-0002-0062,CUST-0002,2026-05-06,4735,7263,5770
CONS-0002-0063,CUST-0002,2026-05-04,3496,8499,4725
CONS-0002-0064,CUST-0002,2026-04-21,1210,3006,9663
CONS-0002-0065,CUST-0002,2026-03-31,2044,4453,9717
CONS-0002-0066,CUST-0002,2026-04-16,2580,4193,7210
CONS-0002-0067,CUST-0002,2026-02-17,4832,3015,1822
CONS-0002-0068,CUST-0002,2026-05-08,4930,5852,5397
CONS-0002-0069,CUST-0002,2026-04-26,1547,4587,5391
CONS-0003-0000,CUST-0003,2026-04-09,399,301,835
CONS-0003-0001,CUST-0003,2026-04-16,292,322,643
CONS-0003-0002,CUST-0003,2026-03-20,145,759,591
CONS-0003-0003,CUST-0003,2026-05-09,612,885,790
CONS-0003-0004,CUST-0003,2026-03-17,405,857,598
CONS-0003-0005,CUST-0003,2026-03-26,589,743,987
CONS-0003-0006,CUST-0003,2026-03-02,285,864,355
CONS-0003-0007,CUST-0003,2026-03-06,288,331,172
CONS-0003-0008,CUST-0003,2026-03-31,673,769,784
CONS-0003-0009,CUST-0003,2026-04-02,336,895,723
CONS-0003-0010,CUST-0003,2026-03-11,423,999,974
CONS-0003-0011,CUST-0003,2026-03-21,169,126,376
CONS-0003-0012,CUST-0003,2026-05-10,468,721,946
CONS-0003-0013,CUST-0003,2026-03-12,315,286,749
CONS-0003-0014,CUST-0003,2026-02-12,313,624,572
CONS-0003-0015,CUST-0003,2026-03-16,669,717,614
CONS-0003-0016,CUST-0003,2026-03-04,139,605,862
CONS-0003-0017,CUST-0003,2026-03-26,93,134,571
CONS-0003-0018,CUST-0003,2026-03-25,184,264,326
CONS-0003-0019,CUST-0003,2026-04-21,99,703,989
CONS-0003-0020,CUST-0003,2026-02-11,387,621,612
CONS-0003-0021,CUST-0003,2026-04-26,463,240,857
CONS-0003-0022,CUST-0003,2026-05-03,163,669,995
CONS-0003-0023,CUST-0003,2026-04-02,130,229,926
CONS-0003-0024,CUST-0003,2026-05-05,727,644,630
CONS-0003-0025,CUST-0003,2026-03-26,231,966,454
CONS-0003-0026,CUST-0003,2026-04-09,483,823,480
CONS-0003-0027,CUST-0003,2026-05-09,435,205,435
CONS-0003-0028,CUST-0003,2026-04-15,688,369,302
CONS-0003-0029,CUST-0003,2026-04-04,285,817,741
CONS-0003-0030,CUST-0003,2026-04-06,358,910,180
CONS-0003-0031,CUST-0003,2026-03-28,135,297,181
CONS-0003-0032,CUST-0003,2026-03-28,531,737,208
CONS-0003-0033,CUST-0003,2026-03-30,747,321,500
CONS-0003-0034,CUST-0003,2026-04-01,90,792,488
CONS-0003-0035,CUST-0003,2026-04-27,282,305,929
CONS-0003-0036,CUST-0003,2026-05-04,171,183,884
CONS-0003-0037,CUST-0003,2026-04-13,642,319,788
CONS-0003-0038,CUST-0003,2026-02-15,678,226,776
CONS-0003-0039,CUST-0003,2026-04-22,295,649,791
CONS-0003-0040,CUST-0003,2026-04-08,217,800,403
CONS-0003-0041,CUST-0003,2026-04-19,348,134,869
CONS-0003-0042,CUST-0003,2026-02-20,597,710,348
CONS-0003-0043,CUST-0003,2026-03-14,633,757,261
CONS-0003-0044,CUST-0003,2026-02-13,288,981,261
CONS-0003-0045,CUST-0003,2026-04-24,609,228,148
CONS-0003-0046,CUST-0003,2026-04-22,712,317,253
CONS-0003-0047,CUST-0003,2026-04-30,208,816,802
CONS-0003-0048,CUST-0003,2026-04-23,79,473,230
CONS-0003-0049,CUST-0003,2026-02-26,553,986,760
CONS-0003-0050,CUST-0003,2026-02-11,663,713,836
CONS-0003-0051,CUST-0003,2026-02-27,447,653,604
CONS-0003-0052,CUST-0003,2026-03-22,249,915,744
CONS-0003-0053,CUST-0003,2026-02-13,427,777,311
CONS-0003-0054,CUST-0003,2026-04-18,589,762,145
CONS-0003-0055,CUST-0003,2026-02-15,102,253,688
CONS-0003-0056,CUST-0003,2026-03-25,90,179,322
CONS-0003-0057,CUST-0003,2026-05-01,316,319,649
CONS-0003-0058,CUST-0003,2026-04-05,111,536,634
CONS-0003-0059,CUST-0003,2026-02-10,156,337,987
CONS-0003-0060,CUST-0003,2026-02-11,145,784,184
CONS-0003-0061,CUST-0003,2026-05-01,534,599,328
CONS-0003-0062,CUST-0003,2026-02-15,700,865,316
CONS-0003-0063,CUST-0003,2026-04-29,712,960,715
CONS-0003-0064,CUST-0003,2026-03-24,178,836,127
CONS-0003-0065,CUST-0003,2026-02-21,180,663,631
CONS-0003-0066,CUST-0003,2026-03-01,204,186,406
CONS-0003-0067,CUST-0003,2026-04-24,376,232,302
CONS-0003-0068,CUST-0003,2026-05-09,337,117,890
CONS-0003-0069,CUST-0003,2026-02-26,154,930,690
CONS-0003-0070,CUST-0003,2026-02-13,291,777,684
CONS-0003-0071,CUST-0003,2026-02-17,112,365,648
CONS-0003-0072,CUST-0003,2026-02-22,648,847,109
CONS-0003-0073,CUST-0003,2026-04-21,295,792,400
CONS-0003-0074,CUST-0003,2026-04-08,231,994,517
CONS-0003-0075,CUST-0003,2026-03-05,681,283,616
CONS-0003-0076,CUST-0003,2026-02-13,187,142,972
CONS-0003-0077,CUST-0003,2026-02-14,333,406,763
CONS-0003-0078,CUST-0003,2026-05-05,679,516,172
CONS-0003-0079,CUST-0003,2026-05-05,133,298,600
CONS-0003-0080,CUST-0003,2026-02-19,406,438,510
CONS-0003-0081,CUST-0003,2026-03-07,262,907,231
CONS-0003-0082,CUST-0003,2026-03-16,592,856,983
CONS-0003-0083,CUST-0003,2026-03-02,237,412,222
CONS-0003-0084,CUST-0003,2026-03-01,126,802,897
CONS-0003-0085,CUST-0003,2026-02-27,717,508,803
CONS-0003-0086,CUST-0003,2026-03-25,439,834,438
CONS-0003-0087,CUST-0003,2026-03-15,456,988,775
CONS-0003-0088,CUST-0003,2026-04-07,729,107,532
CONS-0004-0000,CUST-0004,2026-02-19,663,902,889
CONS-0004-0001,CUST-0004,2026-04-25,580,985,795
CONS-0004-0002,CUST-0004,2026-03-13,633,370,386
CONS-0004-0003,CUST-0004,2026-02-23,312,628,729
CONS-0004-0004,CUST-0004,2026-04-26,400,860,886
CONS-0004-0005,CUST-0004,2026-03-29,682,858,863
CONS-0004-0006,CUST-0004,2026-02-18,456,476,867
CONS-0004-0007,CUST-0004,2026-03-28,703,183,526
CONS-0004-0008,CUST-0004,2026-05-01,130,401,408
CONS-0004-0009,CUST-0004,2026-03-15,451,585,791
CONS-0004-0010,CUST-0004,2026-04-25,564,627,698
CONS-0004-0011,CUST-0004,2026-05-08,355,580,428
CONS-0004-0012,CUST-0004,2026-05-10,268,233,170
CONS-0004-0013,CUST-0004,2026-03-04,150,862,227
CONS-0004-0014,CUST-0004,2026-04-04,739,974,347
CONS-0004-0015,CUST-0004,2026-03-25,441,600,454
CONS-0004-0016,CUST-0004,2026-03-13,364,208,160
CONS-0004-0017,CUST-0004,2026-04-17,75,494,853
CONS-0004-0018,CUST-0004,2026-02-21,222,259,160
CONS-0004-0019,CUST-0004,2026-03-03,493,558,904
CONS-0004-0020,CUST-0004,2026-04-17,178,621,809
CONS-0004-0021,CUST-0004,2026-03-28,153,166,783
CONS-0004-0022,CUST-0004,2026-04-24,442,212,854
CONS-0004-0023,CUST-0004,2026-03-26,648,122,807
CONS-0004-0024,CUST-0004,2026-04-16,136,924,276
CONS-0004-0025,CUST-0004,2026-02-17,339,411,727
CONS-0004-0026,CUST-0004,2026-03-03,679,164,745
CONS-0004-0027,CUST-0004,2026-04-14,558,131,876
CONS-0004-0028,CUST-0004,2026-03-17,499,382,359
CONS-0004-0029,CUST-0004,2026-03-11,409,464,130
CONS-0004-0030,CUST-0004,2026-04-06,462,872,723
CONS-0004-0031,CUST-0004,2026-04-10,94,477,703
CONS-0004-0032,CUST-0004,2026-04-21,138,879,349
CONS-0004-0033,CUST-0004,2026-05-01,597,191,129
CONS-0004-0034,CUST-0004,2026-03-19,367,636,992
CONS-0004-0035,CUST-0004,2026-05-09,325,819,469
CONS-0004-0036,CUST-0004,2026-03-31,118,338,887
CONS-0004-0037,CUST-0004,2026-03-06,622,612,100
CONS-0004-0038,CUST-0004,2026-03-24,327,425,220
CONS-0004-0039,CUST-0004,2026-03-09,405,369,490
CONS-0004-0040,CUST-0004,2026-02-13,325,527,739
CONS-0004-0041,CUST-0004,2026-03-26,282,755,124
CONS-0004-0042,CUST-0004,2026-03-29,193,695,592
CONS-0004-0043,CUST-0004,2026-03-10,84,249,303
CONS-0004-0044,CUST-0004,2026-05-10,442,949,698
CONS-0004-0045,CUST-0004,2026-05-09,235,816,852
CONS-0004-0046,CUST-0004,2026-04-25,507,430,607
CONS-0004-0047,CUST-0004,2026-02-28,666,894,454
CONS-0004-0048,CUST-0004,2026-03-19,295,189,407
CONS-0004-0049,CUST-0004,2026-04-01,520,854,580
CONS-0004-0050,CUST-0004,2026-02-11,496,586,823
CONS-0004-0051,CUST-0004,2026-02-22,678,642,733
CONS-0004-0052,CUST-0004,2026-04-28,424,351,470
CONS-0004-0053,CUST-0004,2026-03-12,583,886,534
CONS-0004-0054,CUST-0004,2026-04-24,567,236,247
CONS-0004-0055,CUST-0004,2026-04-02,315,584,657
CONS-0004-0056,CUST-0004,2026-04-10,655,172,349
CONS-0004-0057,CUST-0004,2026-03-08,111,501,300
CONS-0004-0058,CUST-0004,2026-04-25,186,284,117
CONS-0004-0059,CUST-0004,2026-05-01,741,739,691
CONS-0004-0060,CUST-0004,2026-03-01,480,473,296
CONS-0004-0061,CUST-0004,2026-04-09,609,751,177
CONS-0004-0062,CUST-0004,2026-02-13,552,766,869
CONS-0004-0063,CUST-0004,2026-03-10,633,785,789
CONS-0004-0064,CUST-0004,2026-04-13,654,705,637
CONS-0004-0065,CUST-0004,2026-03-26,537,759,976
CONS-0004-0066,CUST-0004,2026-03-04,579,249,122
CONS-0004-0067,CUST-0004,2026-05-07,108,133,491
CONS-0004-0068,CUST-0004,2026-04-12,121,103,497
CONS-0004-0069,CUST-0004,2026-02-25,214,626,854
CONS-0004-0070,CUST-0004,2026-03-23,450,417,797
CONS-0004-0071,CUST-0004,2026-02-17,376,771,758
CONS-0004-0072,CUST-0004,2026-03-02,462,584,662
CONS-0005-0000,CUST-0005,2026-04-14,12037,45760,87264
CONS-0005-0001,CUST-0005,2026-02-21,7678,34824,28127
CONS-0005-0002,CUST-0005,2026-03-04,13605,21556,90873
CONS-0005-0003,CUST-0005,2026-05-06,11196,33783,38123
CONS-0005-0004,CUST-0005,2026-04-16,11626,21387,59615
CONS-0005-0005,CUST-0005,2026-03-02,9229,44065,40606
CONS-0005-0006,CUST-0005,2026-03-18,5674,24007,61742
CONS-0005-0007,CUST-0005,2026-03-01,6691,37204,64757
CONS-0005-0008,CUST-0005,2026-03-13,14031,37251,30394
CONS-0005-0009,CUST-0005,2026-03-05,10935,35218,49737
CONS-0005-0010,CUST-0005,2026-05-07,19025,29665,52341
CONS-0005-0011,CUST-0005,2026-03-03,16040,40375,66743
CONS-0005-0012,CUST-0005,2026-04-09,10144,19392,71726
CONS-0005-0013,CUST-0005,2026-03-07,17168,28956,62152
CONS-0005-0014,CUST-0005,2026-02-20,15239,29924,49621
CONS-0005-0015,CUST-0005,2026-02-18,9003,23207,48471
CONS-0005-0016,CUST-0005,2026-03-21,16461,38526,22247
CONS-0005-0017,CUST-0005,2026-03-03,9952,17737,10834
CONS-0005-0018,CUST-0005,2026-03-12,9138,35257,80330
CONS-0005-0019,CUST-0005,2026-02-27,6647,29586,12906
CONS-0005-0020,CUST-0005,2026-02-14,5132,34773,66434
CONS-0005-0021,CUST-0005,2026-02-23,12118,37595,76007
CONS-0005-0022,CUST-0005,2026-04-16,11289,46795,76655
CONS-0005-0023,CUST-0005,2026-05-01,6623,26157,76673
CONS-0005-0024,CUST-0005,2026-02-24,17438,18983,16074
CONS-0005-0025,CUST-0005,2026-04-27,16536,38444,95248
CONS-0005-0026,CUST-0005,2026-03-26,11888,43840,46265
CONS-0005-0027,CUST-0005,2026-05-06,13363,44433,53219
CONS-0005-0028,CUST-0005,2026-02-13,18906,22288,14027
CONS-0005-0029,CUST-0005,2026-04-11,12639,14507,36126
CONS-0005-0030,CUST-0005,2026-02-24,18982,33418,26436
CONS-0005-0031,CUST-0005,2026-03-23,18512,36934,40341
CONS-0005-0032,CUST-0005,2026-03-26,11195,27914,15034
CONS-0005-0033,CUST-0005,2026-04-01,5731,12698,16649
CONS-0005-0034,CUST-0005,2026-02-17,5026,25975,99379
CONS-0005-0035,CUST-0005,2026-02-19,16233,17918,56424
CONS-0005-0036,CUST-0005,2026-02-12,12885,37449,75693
CONS-0005-0037,CUST-0005,2026-04-15,7956,36929,96441
CONS-0006-0000,CUST-0006,2026-04-04,148608,295992,551234
CONS-0006-0001,CUST-0006,2026-03-12,76618,258449,129369
CONS-0006-0002,CUST-0006,2026-05-09,137739,419366,774066
CONS-0006-0003,CUST-0006,2026-04-16,91272,465288,934954
CONS-0006-0004,CUST-0006,2026-03-14,39796,392193,783255
CONS-0006-0005,CUST-0006,2026-02-25,129556,412055,514674
CONS-0006-0006,CUST-0006,2026-05-07,99775,72235,679009
CONS-0006-0007,CUST-0006,2026-04-18,74034,392269,423290
CONS-0006-0008,CUST-0006,2026-02-20,83581,145173,948491
CONS-0006-0009,CUST-0006,2026-03-02,90702,404128,115935
CONS-0006-0010,CUST-0006,2026-03-04,108805,121525,185979
CONS-0006-0011,CUST-0006,2026-04-28,120583,291612,984783
CONS-0006-0012,CUST-0006,2026-03-10,110358,330156,263105
CONS-0006-0013,CUST-0006,2026-03-28,143182,396511,805413
CONS-0006-0014,CUST-0006,2026-05-08,146862,165259,663460
CONS-0006-0015,CUST-0006,2026-03-22,65371,391774,336294
CONS-0006-0016,CUST-0006,2026-02-10,117511,97067,383142
CONS-0006-0017,CUST-0006,2026-04-11,147478,498371,716564
CONS-0006-0018,CUST-0006,2026-05-08,114991,54680,191013
CONS-0006-0019,CUST-0006,2026-03-10,120645,445432,733937
CONS-0006-0020,CUST-0006,2026-03-26,57526,154001,879250
CONS-0006-0021,CUST-0006,2026-02-28,139830,98601,999508
CONS-0006-0022,CUST-0006,2026-04-13,39063,90242,161148
CONS-0006-0023,CUST-0006,2026-02-14,92439,499797,752174
CONS-0006-0024,CUST-0006,2026-02-24,140877,194283,184051
CONS-0006-0025,CUST-0006,2026-02-22,122119,491976,189119
CONS-0006-0026,CUST-0006,2026-04-12,42294,59825,632383
CONS-0006-0027,CUST-0006,2026-02-16,109420,107421,635193
CONS-0006-0028,CUST-0006,2026-04-17,82638,93448,850090
CONS-0006-0029,CUST-0006,2026-04-12,58032,67396,118239
CONS-0006-0030,CUST-0006,2026-05-09,69087,127996,947903
CONS-0006-0031,CUST-0006,2026-04-21,147684,246588,458556
CONS-0006-0032,CUST-0006,2026-04-20,73144,386404,630661
CONS-0006-0033,CUST-0006,2026-04-20,142780,357322,166463
CONS-0006-0034,CUST-0006,2026-03-18,47346,86735,658382
CONS-0006-0035,CUST-0006,2026-03-17,109489,193640,364095
CONS-0006-0036,CUST-0006,2026-04-23,64030,241483,845493
CONS-0006-0037,CUST-0006,2026-03-25,44310,196731,563018
CONS-0006-0038,CUST-0006,2026-04-09,122517,73032,459737
CONS-0006-0039,CUST-0006,2026-05-02,74139,383562,198436
CONS-0006-0040,CUST-0006,2026-04-09,94326,317227,665509
CONS-0006-0041,CUST-0006,2026-05-06,77196,423203,653702
CONS-0006-0042,CUST-0006,2026-04-23,105672,217868,298064
CONS-0006-0043,CUST-0006,2026-02-23,94008,155405,872533
CONS-0006-0044,CUST-0006,2026-03-18,71032,94963,310739
CONS-0006-0045,CUST-0006,2026-03-15,107379,102345,592594
CONS-0006-0046,CUST-0006,2026-04-09,63105,234085,538537
CONS-0006-0047,CUST-0006,2026-02-26,104958,463761,467986
CONS-0006-0048,CUST-0006,2026-03-28,58582,60319,271209
CONS-0006-0049,CUST-0006,2026-04-05,113629,497956,279922
CONS-0006-0050,CUST-0006,2026-02-23,127356,119397,684453
CONS-0006-0051,CUST-0006,2026-03-06,52452,443331,515692
CONS-0006-0052,CUST-0006,2026-04-05,135895,135765,810329
CONS-0006-0053,CUST-0006,2026-03-24,70476,72896,657365
CONS-0006-0054,CUST-0006,2026-04-14,148456,283490,321205
CONS-0006-0055,CUST-0006,2026-02-19,55059,435690,131799
CONS-0006-0056,CUST-0006,2026-05-10,105049,212912,261732
CONS-0006-0057,CUST-0006,2026-04-04,70132,257691,164328
CONS-0006-0058,CUST-0006,2026-03-20,116832,161043,333841
CONS-0006-0059,CUST-0006,2026-03-28,140217,491938,689124
CONS-0006-0060,CUST-0006,2026-02-15,117495,425148,828459
CONS-0006-0061,CUST-0006,2026-03-18,131013,177732,672380
CONS-0006-0062,CUST-0006,2026-04-25,38289,89697,316010
CONS-0006-0063,CUST-0006,2026-02-14,93000,245647,909579
CONS-0006-0064,CUST-0006,2026-05-03,115792,289426,559827
CONS-0006-0065,CUST-0006,2026-05-05,45990,67219,271469
CONS-0006-0066,CUST-0006,2026-04-08,69048,114522,271939
CONS-0006-0067,CUST-0006,2026-03-25,129646,307374,864736
CONS-0006-0068,CUST-0006,2026-03-19,104941,238771,856536
CONS-0006-0069,CUST-0006,2026-04-28,44338,420196,372091
CONS-0006-0070,CUST-0006,2026-04-01,71988,148249,787843
CONS-0006-0071,CUST-0006,2026-04-18,134322,56175,307229
CONS-0006-0072,CUST-0006,2026-04-06,67345,110457,257735
CONS-0006-0073,CUST-0006,2026-03-23,102111,425768,330266
CONS-0006-0074,CUST-0006,2026-02-14,71358,255130,516929
CONS-0007-0000,CUST-0007,2026-02-23,157,533,561
CONS-0007-0001,CUST-0007,2026-04-23,651,633,163
CONS-0007-0002,CUST-0007,2026-02-12,366,229,742
CONS-0007-0003,CUST-0007,2026-02-17,577,755,583
CONS-0007-0004,CUST-0007,2026-05-03,654,856,516
CONS-0007-0005,CUST-0007,2026-04-09,208,250,287
CONS-0007-0006,CUST-0007,2026-02-26,145,526,313
CONS-0007-0007,CUST-0007,2026-05-03,264,916,472
CONS-0007-0008,CUST-0007,2026-04-21,247,902,983
CONS-0007-0009,CUST-0007,2026-04-18,277,447,536
CONS-0007-0010,CUST-0007,2026-04-22,297,172,457
CONS-0007-0011,CUST-0007,2026-03-01,739,575,107
CONS-0007-0012,CUST-0007,2026-02-17,139,803,607
CONS-0007-0013,CUST-0007,2026-04-09,706,201,956
CONS-0007-0014,CUST-0007,2026-04-04,382,496,767
CONS-0007-0015,CUST-0007,2026-03-07,145,472,634
CONS-0007-0016,CUST-0007,2026-03-17,342,369,422
CONS-0007-0017,CUST-0007,2026-03-17,720,991,919
CONS-0007-0018,CUST-0007,2026-02-24,189,525,642
CONS-0007-0019,CUST-0007,2026-04-30,433,996,625
CONS-0007-0020,CUST-0007,2026-02-21,636,818,431
CONS-0007-0021,CUST-0007,2026-03-23,330,727,282
CONS-0007-0022,CUST-0007,2026-05-05,237,697,312
CONS-0007-0023,CUST-0007,2026-04-02,342,816,991
CONS-0007-0024,CUST-0007,2026-03-08,111,688,345
CONS-0007-0025,CUST-0007,2026-04-29,366,630,964
CONS-0007-0026,CUST-0007,2026-02-14,439,726,423
CONS-0007-0027,CUST-0007,2026-04-05,288,903,620
CONS-0007-0028,CUST-0007,2026-03-20,495,669,268
CONS-0007-0029,CUST-0007,2026-04-19,603,407,115
CONS-0008-0000,CUST-0008,2026-05-05,21523,276860,790289
CONS-0008-0001,CUST-0008,2026-02-11,61681,80086,961718
CONS-0008-0002,CUST-0008,2026-04-14,54665,71838,432486
CONS-0008-0003,CUST-0008,2026-02-17,48281,392533,577765
CONS-0008-0004,CUST-0008,2026-04-14,38882,54621,674195
CONS-0008-0005,CUST-0008,2026-04-25,53844,405081,420234
CONS-0008-0006,CUST-0008,2026-04-30,56272,196237,425590
CONS-0008-0007,CUST-0008,2026-04-02,30110,148515,741144
CONS-0008-0008,CUST-0008,2026-05-10,59239,403090,509998
CONS-0008-0009,CUST-0008,2026-02-22,44340,336282,179742
CONS-0008-0010,CUST-0008,2026-02-12,42569,367925,611053
CONS-0008-0011,CUST-0008,2026-03-02,62185,443609,246255
CONS-0008-0012,CUST-0008,2026-03-25,60731,165170,463946
CONS-0008-0013,CUST-0008,2026-04-24,27162,127354,881832
CONS-0008-0014,CUST-0008,2026-04-11,41337,491392,207296
CONS-0008-0015,CUST-0008,2026-04-11,26516,304460,889171
CONS-0008-0016,CUST-0008,2026-04-13,47436,237890,409712
